timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
6.000000000000000000e+01,3.455106465816068635e+02,3.010858717840165468e+02,2.980140526468716757e+02,3.293207952813777348e-03
6.100000000000000000e+01,3.456320537804430160e+02,3.012189718848279654e+02,2.980177716128433758e+02,4.091524237351529952e-03
6.200000000000000000e+01,3.457475398803221651e+02,3.013531322924775964e+02,2.980219619819775971e+02,4.988161561469560586e-03
6.300000000000000000e+01,3.458573936566480711e+02,3.014882576706892223e+02,2.980266490697185873e+02,5.988318628197402370e-03
6.400000000000000000e+01,3.459618898010817247e+02,3.016242561461516516e+02,2.980318576309600758e+02,7.097078820669680370e-03
6.500000000000000000e+01,3.460612896084139720e+02,3.017610392817315415e+02,2.980376117978461821e+02,8.319397696803168193e-03
6.600000000000000000e+01,3.461558416299380383e+02,3.018985220399416676e+02,2.980439350241322245e+02,9.660091827025058669e-03
6.700000000000000000e+01,3.462457822949577917e+02,3.020366227380006308e+02,2.980508500358749302e+02,1.112382892312181390e-02
6.800000000000000000e+01,3.463313365019837420e+02,3.021752629956840792e+02,2.980583787881977287e+02,1.271511920751301761e-02
6.900000000000000000e+01,3.464127181810966363e+02,3.023143676770424690e+02,2.980665424278574278e+02,1.443830796311125660e-02
7.000000000000000000e+01,3.464901308288841051e+02,3.024538648269495980e+02,2.980753612613248720e+02,1.629756920622881314e-02
7.100000000000000000e+01,3.465637680172880550e+02,3.025936856033432605e+02,2.980848547280830871e+02,1.829690041819877905e-02
7.200000000000000000e+01,3.466338138776354185e+02,3.027337642059279688e+02,2.980950413788424953e+02,2.044011827573005355e-02
7.300000000000000000e+01,3.467004435610622863e+02,3.028740378020264643e+02,2.981059388583697682e+02,2.273085531449783175e-02
7.400000000000000000e+01,3.467638236764830708e+02,3.030144464501921107e+02,2.981175638926301872e+02,2.517255746628520655e-02
7.500000000000000000e+01,3.468241127071996175e+02,3.031549330221263858e+02,2.981299322799449669e+02,2.776848240607937904e-02
7.600000000000000000e+01,3.468814614071917504e+02,3.032954431233835066e+02,2.981430588858731312e+02,3.052169864915874400e-02
7.700000000000000000e+01,3.469360131780811685e+02,3.034359250132908983e+02,2.981569576415332108e+02,3.343508534110396085e-02
7.800000000000000000e+01,3.469879044277098501e+02,3.035763295244627784e+02,2.981716415450896420e+02,3.651133268252440556e-02
7.900000000000000000e+01,3.470372649112306931e+02,3.037166099822400724e+02,2.981871226661380092e+02,3.975294293438094706e-02
8.000000000000000000e+01,3.470842180555633263e+02,3.038567221243491758e+02,2.982034121527350408e+02,4.316223195121345058e-02
8.100000000000000000e+01,3.471288812680253955e+02,3.039966240210362685e+02,2.982205202408282503e+02,4.674133119366419287e-02
8.200000000000000000e+01,3.471713662299119960e+02,3.041362759959000073e+02,2.982384562658540403e+02,5.049219017110628815e-02
8.300000000000000000e+01,3.472117791757573286e+02,3.042756405476169448e+02,2.982572286762825229e+02,5.441657926983065746e-02
8.400000000000000000e+01,3.472502211589761600e+02,3.044146822727272479e+02,2.982768450489010661e+02,5.851609292565423254e-02
8.500000000000000000e+01,3.472867883045501003e+02,3.045533677896243603e+02,2.982973121056390937e+02,6.279215309793251265e-02
8.600000000000000000e+01,3.473215720493899994e+02,3.046916656638708787e+02,2.983186357317491115e+02,6.724601301088571625e-02
